Nov 24 13:57:48 <h4sh3d>	meeting this afternoon normally!
Nov 24 14:43:03 <TheCharlatan>	h4sh3d can you explain what you mean in the line I quoted again?
Nov 24 14:43:20 <TheCharlatan>	Also, I'll be afk now, see you soon!
Nov 24 14:44:43 <h4sh3d>	this https://github.com/farcaster-project/farcaster-node/pull/230/files#diff-cba64c21ab992eaad29fce147a08f4560a4769bc14682b8a96081a5fd02dbecd
Nov 24 14:45:25 <h4sh3d>	parse_config function, takes the -c arg value, a path to the config file
Nov 24 14:45:50 <h4sh3d>	parse it and try to return a Config struct
Nov 24 14:46:43 <h4sh3d>	TheCharlatan: the cmd line arg are separated from the config "arg"
Nov 24 14:47:05 <h4sh3d>	urls will not be managed by cmd arg but only with the file
Nov 24 14:47:39 <h4sh3d>	in cmd arg you use the value -c to point to a file or not, if not we load the default config
Nov 24 14:47:58 <h4sh3d>	config = src/config.rs "Config" struct in that case
Nov 24 14:48:20 <h4sh3d>	let me push my latest WIP on that branch, the concept is the same
Nov 24 14:47:45 <zkao>	the issue is that there are 2 levels of config that are compatible, and a third one overlayed that overwrites everything
Nov 24 14:48:01 <zkao>	one with the shell variables and the command lines arguments
Nov 24 14:48:28 <zkao>	these two are from clap and are compatible, the inherited ones
Nov 24 14:48:52 <zkao>	and the third one, at a classical h4sh3d, overwrites all the rest lol
Nov 24 14:53:05 <zkao>	the situation i want to avoid in farcasterd is to be forced to pass too many args if we're running swaps that requires say >3 different syncers
Nov 24 14:54:12 <zkao>	whats the view on syncer in general?
Nov 24 14:54:20 <zkao>	is it ok for farcasterd to launch them?
Nov 24 14:58:21 <h4sh3d>	I think yes, fcd should manage the pool of syncers
