Jul 21 13:41:13 <h4sh3d>	meeting in 20 minutes
Jul 21 14:30:48 <TheCharlatan>	but for get_transaction it is rawtransaction, that you can then serialize. 
Jul 21 14:30:51 <zkao>	i always thought it was the job of the syncer to keep track of the depth of a tx
Jul 21 14:31:04 <zkao>	not of electrum
Jul 21 14:31:31 <TheCharlatan>	yeah, the problem is not tracking it, but finding the initial truth.
Jul 21 14:31:51 *	mfoolb has quit (Remote host closed the connection)
Jul 21 14:32:13 <zkao>	but all wallets need that
Jul 21 14:33:01 <TheCharlatan>	no, wallets typically work differently.
Jul 21 14:33:24 <TheCharlatan>	you have indexes that track transactions by script and those include the height.
Jul 21 14:33:36 <zkao>	so u have the solution
Jul 21 14:33:39 *	mfoolb (~mfoolb@gateway/tor-sasl/mfoolb) has joined
Jul 21 14:34:01 <TheCharlatan>	building our index seems needlessly complicated though.
Jul 21 14:34:55 <h4sh3d>	do we access only electrum or also a full node? (this can be query to the full node no?)
Jul 21 14:34:47 <TheCharlatan>	there is an option you can pass to electrum to include the blockhash and confirmations, but many servers don't support it: https://electrumx.readthedocs.io/en/latest/protocol-methods.html#blockchain-transaction-get
Jul 21 14:35:05 <TheCharlatan>	it's the same problem with the full node.
Jul 21 14:35:49 <zkao>	it would be good if in the next 2 weeks or so we have some way to start using the syncer so that we can test the rest of the stack properly
Jul 21 14:36:22 <zkao>	do you think that is reasonable? just bother the hell of everybody and we will make it work somehow
Jul 21 14:36:48 <TheCharlatan>	there's no rpc call to achieve this to my knowledge.
Jul 21 14:36:57 <TheCharlatan>	I totally think that's reasonable.
Jul 21 14:37:17 <h4sh3d>	ok, but with verbose=true and electrum it should work
Jul 21 14:37:34 <h4sh3d>	so we can start with that, on our electrs servers first
Jul 21 14:37:57 <h4sh3d>	seems good for you?
Jul 21 14:38:01 <TheCharlatan>	it should, but as I said, I'm not sure which servers support. I think electrs doesn't IIRC.
Jul 21 14:38:26 <TheCharlatan>	at least when I connect to blockstream's public electrs, it's telling me this method is not supported.
Jul 21 14:39:11 <zkao>	afk
Jul 21 14:40:07 <h4sh3d>	ok
Jul 21 14:40:15 <TheCharlatan>	I'll try again with a local electrs then.
Jul 21 14:42:04 <zkao>	h4sh3d: last thing, can u get swap_id in all the protocol messages? issue #81
Jul 21 14:42:21 *	mfoolb has quit (Ping timeout: 244 seconds)
Jul 21 14:42:31 <zkao>	that one is blocking
Jul 21 14:42:46 <h4sh3d>	yes, on it
Jul 21 14:42:51 <zkao>	merci
Jul 21 14:44:42 <h4sh3d>	TheCharlatan: I able to assist you on the syncer work, please poke me when you need so
Jul 21 14:47:20 *	mfoolb (~mfoolb@gateway/tor-sasl/mfoolb) has joined
Jul 21 14:48:06 <h4sh3d>	zkao: regarding the swap id, currently there is methods to convert back and forth between bundles and protocol messages
Jul 21 14:47:59 <TheCharlatan>	will do, I will need some help with the scriptPubkey<->address serializations once the transaction task is done.
Jul 21 14:48:49 <h4sh3d>	TheCharlatan: ok
Jul 21 14:49:37 <h4sh3d>	zkao: now I need more data to build the protocol messages, I think the best way is to add this when we convert from bundles->protocol message
Jul 21 14:49:54 <h4sh3d>	what do you think?  or do you want swap_id on bundles too?
Jul 21 14:51:17 <zkao>	taker creates swapid first when taking the offer
Jul 21 15:35:00 <h4sh3d>	zkao: opened https://github.com/farcaster-project/farcaster-core/pull/83 on core
Jul 21 15:35:58 <h4sh3d>	changes on tests/bundles.rs https://github.com/farcaster-project/farcaster-core/pull/83/files#diff-353f3f5f096f70cb4df0243daeedcb4ba48d7e4746e7c4474eb79da4dd29ad15 will give you a good idea on the impact in the node
Jul 21 15:36:53 <TheCharlatan>	ah, I was wrong, the verbose argument is indeed accepted by getrawtransaction and returns confirmations. So even if the servers don't respect it, we could just directly query bitcoind.
Jul 21 15:38:02 <TheCharlatan>	I'm going to need to open a pull request in rust-electrum-client to enable it in any case though.
Jul 21 15:38:41 <h4sh3d>	:thumbsup:
Jul 21 15:39:59 <h4sh3d>	zkao: issue #80 is less trivial than 81 but I'll work on it ASAP.  does it blocks on your side?
