Jan 26 17:01:34 <zkao>	16:00 UTC is now
Jan 26 17:30:53 <h4sh3d>	it may be the easiest path, and a proper one
Jan 26 17:31:12 <h4sh3d>	(looks like we have enough to start testing with 0.28.0-rc1)
Jan 26 17:31:27 <h4sh3d>	8 days ago, what a perfect timing :)
Jan 26 17:29:43 <TheCharlatan>	great :)
Jan 26 17:31:04 <zkao>	the syncer and swap-cli have some criteria that seem unnecessary
Jan 26 17:31:36 <zkao>	> enable pattern such as: do X if Y
Jan 26 17:31:50 <zkao>	im here: https://ccs.getmonero.org/proposals/h4sh3d-atomic-swap-implementation.html
Jan 26 17:32:30 <zkao>	i think we all agree that syncer is trusted at this point, or am I wrong about that?
Jan 26 17:32:58 <zkao>	so the person running the syncer is the same as the one running the swap
Jan 26 17:37:18 <h4sh3d>	it's trusted because if the syncer does not broadcast some transaction use can be punished
Jan 26 17:37:43 <h4sh3d>	which is a bit stronger than the blockchain node itself
Jan 26 17:38:19 <h4sh3d>	but the syncer cannot broadcast a transaction that would be invalid protocol wise
Jan 26 17:36:52 <TheCharlatan>	Not sure though if it makes sense to push some of the broadcast logic into the syncer. At some point it just becomes like the swap daemon.
Jan 26 17:38:59 <h4sh3d>	so if I'm not mistaken, you could consider it at the same level of blockchain fullnode if we have replication to ensure at least one will broadcast
Jan 26 17:39:55 <h4sh3d>	I agree it is similar to swap daemon then
Jan 26 17:39:08 <zkao>	ok, i guess we're agreeing
Jan 26 17:39:54 <TheCharlatan>	yeah, so I cast my vote against implementing that.
Jan 26 17:42:03 <h4sh3d>	me too
Jan 26 17:40:24 <zkao>	same
Jan 26 17:43:46 <h4sh3d>	talking about syncers, replacing the monero-wallet-rpc part with lws
Jan 26 17:41:59 <zkao>	so it will always be one syncer per chain, and then if we don't want to trust full-node, we must connect to many?
Jan 26 17:42:20 <zkao>	... many full nodes
Jan 26 17:44:46 <h4sh3d>	I think so
Jan 26 17:45:59 <h4sh3d>	IIRC the idea of non trusted syncer came while thinking about mobile context
Jan 26 17:46:34 <h4sh3d>	to reduce the number of task the phone has to do
Jan 26 17:46:56 <h4sh3d>	again, that's my recall
Jan 26 17:47:57 <h4sh3d>	but I don't think we should include that type of constrains
Jan 26 17:46:19 <zkao>	mobile and liveness don't go together too well
Jan 26 17:48:20 <h4sh3d>	so 1 syncer many node (for extra validation if wanted) is enough IMO
Jan 26 17:48:10 <TheCharlatan>	or we do some form of SPV, but that's out of scope imo.
Jan 26 17:50:36 <h4sh3d>	yeah, better having a box at home that stays live and runs all farcaster services so phone UI connects to that (maybe even with internet redundancy)
Jan 26 17:51:28 <h4sh3d>	but swaps that take 40 mins to complete will not be done on a phone
Jan 26 17:52:06 <h4sh3d>	so you need channels and channel will require this kind of box or will delegate stuff elsewhere and it gets more and more complicated... haha
Jan 26 17:52:38 <h4sh3d>	out of scope yes :)
Jan 26 18:00:16 <h4sh3d>	do we keep farcaster.dev running?
Jan 26 17:58:40 <zkao>	mainnet! hahha
Jan 26 17:59:18 <localmonero05>	farcaster.dev<->farcaster.main?
Jan 26 17:59:57 *	rottenwheel (~rottenwhe@user/rottenwheel) has left
Jan 26 18:08:14 <h4sh3d>	MRL meeting starting, anything else we should decide now? we restart weekly meetings from now? 16h UTC again?
Jan 26 18:06:37 <zkao>	todos: list issues of what seems necessary to mainnet and tag it accordingly, ask feedback for community on how to approach mainnet
Jan 26 18:07:15 *	mfoolb has quit (Ping timeout: 276 seconds)
Jan 26 18:07:15 <localmonero05>	h4sh3d zkao let me know if you'll be restarting weekly meetings so I can make sure to include them in each revuo issue. :)
Jan 26 18:07:36 <localmonero05>	or if you prefer not to be listed in there, that's fine as well. Your call.
Jan 26 18:08:13 <zkao>	h4sh3d, localmonero05 : yes, i guess we should seek more community engagement as we're settling on the structure of the software
Jan 26 18:08:33 <localmonero05>	Ack. Thanks for kicking them back up.
Jan 26 18:09:29 <zkao>	thanks for pushing for it :P

